name,Apache-bench-10000-100,Apache-bench-10000-1000,jmeter1
server.document-root,"(5751.76, 6229.86, 5906.49)","(3959.07, 4188.75, 3860.85)","(2989.32, 2989.06, 2983.78)"
server.name,"(5964.38, 5906.09, 6154.97)","(3961.59, 3991.02, 3815.22)","(3091.16, 2971.88, 3045.24)"
server.tag,"(5896.51, 6105.60, 6038.44)","(4118.67, 3951.61, 4156.16)","(3104.53, 3088.48, 3074.89)"
server.max-request-size,"(6302.89, 6279.93, 6299.99)","(3952.81, 3932.30, 3886.39)","(2935.30, 2978.59, 2980.31)"
server.max-keep-alive-requests,"(6347.92, 6185.71, 6235.82)","(3824.68, 4021.13, 3858.98)","(3037.98, 2939.10, 2997.07)"
server.max-keep-alive-idle,"(6838.05, 6136.22, 5958.28)","(4069.66, 4021.73, 4120.84)","(3092.02, 2892.47, 2994.26)"
server.max-read-idle,"(6713.10, 5952.72, 6062.75)","(5930.87, 4097.72, 3970.63)","(2878.77, 3090.68, 3082.95)"
server.max-write-idle,"(6095.80, 6111.30, 6088.38)","(3931.17, 4059.66, 4038.19)","(2982.01, 2985.11, 2988.58)"
server.errorfile-prefix,"(5761.60, 6097.59, 5877.18)","(3858.04, 4054.40, 4132.05)","(3133.45, 2972.22, 2884.93)"
server.error-handler,"(6184.43, 6323.24, 6091.26)","(4017.44, 3912.81, 4187.77)","(3023.75, 2996.89, 2998.67)"
server.error-handler-404,"(6046.89, 6155.94, 6220.07)","(3891.13, 4183.41, 3868.47)","(3049.52, 2992.26, 3048.67)"
server.error-intercept,"(5799.43, 6036.77)","(3996.38, 3988.89)","(2942.97, 2970.58)"
server.force-lowercase-filenames,"(6019.05, 6085.33)","(4116.95, 3999.25)","(3008.26, 2973.83)"
server.follow-symlink,"(6116.07, 5788.41)","(3833.77, 4173.74)","(2895.50, 2898.70)"
server.protocol-http11,"(5962.13, 6305.26)","(4075.31, 4167.16)","(3097.50, 2942.21)"
server.range-requests,"(6746.59, 6014.29)","(6113.67, 3806.94)","(3154.60, 2898.02)"
server.stream-request-body,"(5842.70, 5832.56)","(4022.64, 3848.05)","(1865.70, 3872.01)"
server.stream-response-body,"(5822.60, 5846.01)","(3937.74, 4074.84)","(3126.98, 2971.79)"
server.kbytes-per-second,"(5791.46, 5933.10, 'timeout')","(3826.74, 3824.24, 'timeout')","(3079.06, 2968.77, 3027.60)"
connection.kbytes-per-second,"(6090.21, 6332.53, 'timeout')","(3976.87, 4097.42, 'timeout')","(2855.27, 3094.92, 3089.26)"
mimetype.assign,"(5803.23, 6101.17, 6025.48)","(3875.80, 3902.45, 4138.99)","(3009.41, 3005.48, 2969.89)"
mimetype.use-xattr,"(5964.66, 6206.08)","(4060.12, 3855.70)","(3057.10, 3027.63)"
etag.use-inode,"(6920.83, 5970.24)","(3817.84, 4038.16)","(2974.45, 2975.82)"
etag.use-mtime,"(5804.20, 6274.92)","(4050.85, 3909.71)","(2846.87, 3087.14)"
etag.use-size,"(6851.77, 6341.39)","(3833.24, 3877.71)","(2938.01, 2974.02)"
server.errorlog,"(5906.02, 6048.56, 5795.89)","(4023.27, 3866.04, 3981.43)","(2874.70, 2947.83, 2895.97)"
server.breakagelog,"(5799.90, 6134.27, 6304.47)","(4074.52, 4191.30, 3998.40)","(2912.09, 2918.12, 3009.99)"
server.modules,"(6157.76, 6267.43, 5875.79)","(4004.01, 3978.53, 3959.47)","(2989.88, 2983.55, 2986.37)"
server.compat-module-load,"(46180.63, 6172.38)","(3814.57, 4031.82)","(3024.38, 2974.33)"
server.systemd-socket-activation,"(5885.01, 5925.60)","(4003.81, 3994.59)","(2962.48, 2982.02)"
server.port,"(6006.18, 6284.65, 5785.01)","(4041.78, 3879.89, 4039.51)","(3120.72, 2965.64, 3023.84)"
server.bind,"(6331.69, 5859.33, 5754.91)","(4117.24, 4022.51, 4004.93)","(2864.75, 3040.84, 2931.99)"
server.network-backend,"(5183.94, 6025.99, 6080.77)","(4135.39, 3822.61, 3837.34)","(3052.04, 3039.96, 2966.79)"
server.chroot,"(6184.39, 6343.91, 6192.25)","(4009.10, 3914.85, 4130.19)","(2979.06, 2990.55, 2983.61)"
server.username,"(6317.14, 6009.09, 6317.48)","(3850.50, 3993.98, 3887.93)","(3070.86, 3016.48, 3063.00)"
server.groupname,"(5859.05, 6327.05, 6282.89)","(3973.80, 4110.60, 4029.55)","(3028.87, 2968.04, 3002.05)"
server.errorlog-use-syslog,"(6813.71, 6122.86)","(4039.94, 3797.57)","(2886.84, 2968.64)"
server.syslog-facility,"(6326.04, 5788.01, 5843.73)","(4183.68, 4005.82, 4132.98)","(2975.00, 2978.85, 2976.05)"
server.core-files,"(5786.49, 5855.33)","(4163.01, 3912.38)","(2990.35, 2983.72)"
server.event-handler,"(5863.48, 5752.07, 6271.92)","(4032.12, 3977.81, 3889.70)","(2912.77, 2946.63, 2959.48)"
server.pid-file,"(6210.69, 6175.21, 5768.00)","(3921.21, 3957.34, 4021.33)","(2988.28, 2984.48, 2985.24)"
server.max-worker,"(5058.93, 5750.88, 6035.98)","(4053.25, 4092.66, 3975.24)","(3072.44, 2943.76, 2942.41)"
server.max-fds,"(5786.59, 6316.09, 6309.71)","(4070.73, 3829.80, 3852.18)","(2920.05, 2925.58, 2951.98)"
server.max-connections,"(7291.06, 6341.73, 6066.79)","(6110.68, 4010.73, 3889.50)","(2982.26, 2988.14, 2986.78)"
server.max-request-field-size,"(48674.59, 5949.99, 5909.18)","(39540.85, 4039.04, 3980.63)","(2964.32, 3006.87, 2970.84)"
server.chunkqueue-chunk-sz,"(6088.69, 5814.68, 6149.47)","(4119.06, 3891.30, 4180.46)","(3011.77, 2969.21, 3010.63)"
server.upload-temp-file-size,"(5907.75, 5974.61, 5983.09)","(3851.37, 3888.07, 4053.08)","(2913.05, 3026.40, 2970.14)"
server.upload-dirs,"(5782.16, 6254.15, 6136.24)","(3853.91, 3914.39, 3907.68)","(2895.62, 2915.46, 2904.04)"
server.http-parseopts,"(6282.08, 6128.13, 6138.48, 5833.35, 6307.87, 6234.20)","(3861.40, 4167.63, 3800.44, 3822.98, 4119.83, 3907.67)","(2922.34, 2979.21, 3031.88, 2926.81, 3037.61, 3028.54)"
server.http-parseopt-header-strict,"(5794.13, 6195.44)","(4000.84, 3816.21)","(2904.95, 2927.82)"
server.http-parseopt-host-strict,"(6007.61, 5755.69)","(4049.83, 3917.96)","(3089.36, 2898.03)"
server.http-parseopt-host-normalize,"(5782.25, 6229.36)","(3800.66, 4159.64)","(2918.10, 3011.12)"
server.reject-expect-100-with-417,"(6088.46, 5802.90)","(4143.52, 4143.63)","(3049.82, 2969.10)"
server.stat-cache-engine,"(6713.93, 6264.82, 6178.10)","(4025.73, 3970.52, 4057.50)","(3404.24, 2587.32, 2628.95)"
mimetype.xattr-name,"(6074.62, 5967.40, 6002.70)","(4105.99, 3814.60, 3818.64)","(3015.87, 3007.99, 2969.23)"
server.feature-flags,"(6156.57, 6006.99, 5881.92, 6179.80, 6166.33, 5903.10)","(3950.57, 3990.33, 3897.39, 3901.08, 4109.06, 4066.02)","(2940.94, 2997.87, 2984.27, 3013.60, 2955.95, 2943.18)"
server.listen-backlog,"(6330.83, 6282.34, 5749.22)","(4144.87, 3853.38, 4012.62)","(3105.09, 2916.04, 3078.52)"
server.bsd-accept-filter,"(7143.99, 5984.33, 6015.73)","(4150.67, 4125.33, 3844.04)","(2994.15, 2984.25, 2979.44)"
server.defer-accept,"(6353.58, 6073.59)","(4125.83, 4019.02)","(2876.78, 3006.77)"
server.use-ipv6,"(6246.16, 'timeout')","(4171.35, 'timeout')","(4000.00, 3773.44)"
server.v4mapped,"(6018.47, 5747.45)","(4060.74, 4150.16)","(2914.85, 3005.52)"
server.socket-perms,"(6154.86, 6147.82, 5980.19)","(3919.94, 3811.52, 3904.54)","(2908.71, 3008.64, 3037.31)"
