name,sysbench-10000-4-16-20,tpcc-w2-1-10,tpcc-w4-4-20,sysbench-1000-8-8-40
max_heap_table_size,"(13340.39, 12553.67, 10934.13)","(1254.66, 1262.74, 1296.12)","(49.37, 48.97, 49.22)","(5055.46, 5019.04, 4946.16)"
tmp_table_size,"(13951.32, 12899.09, 10549.68)","(1369.77, 1324.00, 1363.06)","(49.24, 48.65, 47.60)","(5155.91, 5140.71, 4930.85)"
end_markers_in_json,"(11895.20, 11901.76)","(1323.52, 1310.19)","(47.92, 48.12)","(4990.77, 4982.63)"
windowing_use_high_precision,"(12294.72, 11921.91)","(1357.57, 1308.68)","(48.56, 48.45)","(5107.34, 4906.52)"
optimizer_switch,"(12029.16, 11851.29, 11877.53, 12021.85, 11838.84, 12012.24)","(1321.30, 1320.77, 1318.78, 1311.47, 1314.79, 1319.48)","(48.43, 48.16, 48.16, 48.31, 48.19, 48.37)","(4941.52, 4944.11, 4942.85, 4943.59, 4943.02, 4942.40)"
optimizer_trace,"(11826.99, 11973.88, 11974.10)","(1264.50, 1273.23, 1287.25)","(47.06, 48.60, 48.38)","(4705.82, 5017.80, 4736.56)"
optimizer_trace_features,"(12277.64, 11912.97, 11925.19)","(1270.74, 1312.30, 1335.20)","(50.32, 47.68, 50.01)","(4991.40, 4923.32, 4900.46)"
optimizer_trace_offset,"(11842.40, 11924.34, 11941.95)","(1358.01, 1298.11, 1344.11)","(49.43, 48.61, 48.30)","(5150.64, 5069.15, 4993.53)"
optimizer_trace_limit,"(11386.96, 11475.25, 12310.84)","(1251.97, 1260.56, 1272.76)","(46.70, 46.98, 49.45)","(4893.83, 4940.04, 4901.32)"
optimizer_trace_max_mem_size,"(12315.81, 11533.12, 11674.76)","(1269.95, 1294.37, 1340.09)","(46.98, 48.06, 48.24)","(5130.63, 4935.20, 5106.65)"
sql_mode,"(11944.85, 11918.60, 11933.97, 11902.71, 11918.35, 11926.56)","(1320.09, 1311.97, 1315.98, 1319.19, 1312.22, 1317.72)","(48.05, 48.49, 48.49, 48.26, 48.25, 48.27)","(4984.93, 4912.30, 4924.49, 4916.46, 4977.39, 4907.03)"
autocommit,"(12023.80, 11913.54)","(1306.90, 1308.91)","(47.99, 48.30)","(4971.37, 4920.41)"
sql_select_limit,"(11851.37, 11947.95, 11954.15)","(1368.80, 1308.81, 1362.53)","(48.06, 48.31, 48.18)","(5077.12, 4934.40, 4857.39)"
max_join_size,"(11329.33, 11881.81, 11407.40)","(1291.78, 1300.56, 1298.07)","(50.57, 47.16, 50.31)","(4958.29, 4953.48, 4932.88)"
bulk_insert_buffer_size,"(12501.54, 11432.08, 11591.63)","(1350.15, 1289.70, 1299.81)","(47.17, 47.52, 47.20)","(4897.93, 4979.89, 4901.97)"
eq_range_index_dive_limit,"(11571.26, 12090.93, 12220.32)","(1358.09, 1301.04, 1335.32)","(46.63, 47.10, 49.92)","(4830.08, 4896.45, 4911.87)"
cte_max_recursion_depth,"(11367.84, 11587.88, 12104.32)","(1506.00, 1394.91, 1162.84)","(48.84, 48.34, 48.31)","(5114.65, 5043.05, 4926.64)"
histogram_generation_max_mem_size,"(11365.26, 12453.01, 11425.08)","(1359.51, 1321.34, 1299.61)","(49.43, 47.93, 47.66)","(4863.31, 5019.74, 5018.36)"
join_buffer_size,"(11388.94, 11892.83, 11934.47)","(1285.18, 1298.78, 1287.12)","(49.26, 48.49, 47.34)","(4858.94, 4900.12, 4910.53)"
lock_wait_timeout,"(11802.39, 12015.81, 11818.67)","(1392.00, 1276.38, 1388.78)","(46.72, 48.16, 48.00)","(4722.74, 4916.72, 4821.75)"
max_allowed_packet,"(11412.34, 11563.87, 12078.49)","(1369.99, 1363.73, 1307.17)","(49.74, 47.29, 48.15)","(246.58, 1508.21, 9126.64)"
max_error_count,"(11866.95, 11909.93, 11895.52)","(1273.70, 1310.58, 1337.44)","(48.23, 48.25, 48.32)","(4773.80, 5093.34, 5098.91)"
max_length_for_sort_data,"(11324.85, 12435.12, 11931.87)","(1354.10, 1291.11, 1333.98)","(48.96, 48.68, 47.73)","(5083.44, 5057.70, 5049.15)"
max_points_in_geometry,"(13654.34, 12714.26, 13272.10)","(nan, nan, 'nan')","(46.13, 48.55, 48.08)","(5002.42, 4926.97, 4966.05)"
max_sort_length,"(11566.42, 12161.26, 12169.34)","(1298.93, 1319.68, 1306.26)","(47.02, 49.45, 48.17)","(4757.85, 4826.06, 4890.71)"
max_insert_delayed_threads,"(12499.76, 11956.99, 11826.15)","(1261.33, 1346.63, 1287.03)","(50.01, 47.74, 48.17)","(4870.14, 4959.12, 4870.19)"
min_examined_row_limit,"(11732.12, 11790.89, 11854.82)","(1334.81, 1330.91, 1327.22)","(50.54, 47.23, 46.76)","(4712.35, 4850.95, 4869.21)"
net_buffer_length,"(12158.95, 11961.77, 11825.71)","(1306.13, 1307.23, 1311.48)","(48.11, 48.30, 48.17)","(4967.20, 4927.13, 4924.45)"
interactive_timeout,"(11818.48, 12008.64, 12013.43)","(1354.09, 1321.02, 1322.81)","(48.84, 48.83, 47.76)","(5164.93, 5060.25, 4823.00)"
net_read_timeout,"(11532.68, 12193.36, 11699.03)","(1336.09, 1312.37, 1327.88)","(48.64, 48.55, 48.21)","(4793.35, 4842.82, 4867.73)"
net_retry_count,"(11946.31, 11932.03, 11900.86)","(1310.01, 1315.30, 1310.36)","(47.94, 48.00, 48.18)","(4904.00, 4921.29, 4952.94)"
wait_timeout,"(8571.63, 13684.83, 11837.30)","(1306.21, 1313.37, 1312.61)","(50.25, 47.57, 46.51)","(4910.69, 4925.51, 4954.18)"
net_write_timeout,"(11606.22, 11858.36, 12219.05)","(1286.36, 1308.14, 1288.32)","(50.08, 48.70, 49.82)","(5117.93, 5009.12, 4787.43)"
optimizer_prune_level,"(13164.66, 11885.45, 11644.73)","(1343.11, 1307.50, 1314.18)","(66.00, 64.74, 57.94)","(4925.02, 4949.33, 4958.07)"
optimizer_search_depth,"(14078.74, 11575.60, 11427.88)","(1371.60, 1286.02, 1267.68)","(78.00, 48.05, 58.62)","(4785.69, 4923.46, 5077.12)"
parser_max_mem_size,"(12349.27, 11556.10, 11537.55)","(1256.51, 1300.75, 1277.67)","(50.48, 49.50, 48.07)","(4793.40, 4956.55, 5057.46)"
range_optimizer_max_mem_size,"(8563.37, 13511.57, 12308.55)","(1364.71, 1276.31, 1345.20)","(78.00, 34.64, 55.45)","(244.82, 7395.46, 4943.21)"
preload_buffer_size,"(11926.60, 11907.93, 11916.29)","(1317.51, 1316.54, 1314.33)","(48.71, 48.19, 48.31)","(4896.20, 4921.06, 4905.52)"
profiling_history_size,"(11954.23, 11905.49, 11890.09)","(1308.78, 1319.93, 1309.14)","(48.14, 48.23, 48.37)","(4910.40, 4972.43, 4954.53)"
read_buffer_size,"(11890.59, 11928.55, 11911.28)","(1374.26, 1321.75, 1267.60)","(46.42, 48.47, 49.86)","(191.26, 1743.89, 1669.31)"
read_rnd_buffer_size,"(11722.30, 11780.67, 11947.89)","(1277.21, 1328.78, 1325.76)","(46.89, 48.02, 47.96)","(4823.95, 4905.72, 4873.81)"
div_precision_increment,"(12954.72, 11155.51, 12360.39)","(1274.45, 1353.23, 1353.49)","(49.56, 48.40, 47.03)","(5061.76, 4928.47, 4825.34)"
sort_buffer_size,"(14219.36, 11666.84, 11434.20)","(1362.01, 1346.87, 1314.75)","(47.24, 48.06, 48.91)","(4732.87, 5018.97, 4979.12)"
max_sp_recursion_depth,"(11935.49, 11910.47, 11908.71)","(1279.25, 1336.61, 1318.87)","(47.33, 47.47, 48.94)","(4915.58, 4961.66, 4934.05)"
default_week_format,"(12490.32, 11864.89, 11708.15)","(1252.60, 1268.81, 1316.10)","(48.28, 48.28, 48.29)","(5073.69, 4939.51, 4857.37)"
max_seeks_for_key,"(8442.82, 12375.34, 9376.53)","(1251.33, 1331.47, 1285.13)","(87.00, 56.74, 59.79)","(239.46, 3591.63, 6582.33)"
range_alloc_block_size,"(361.78, 8548.51, 5301.68)","(36.00, 1689.15, 1059.74)","(48.55, 48.04, 48.46)","(6.43, 9346.08, 2892.51)"
query_alloc_block_size,"(8720.68, 8922.15, 13379.04)","(1421.86, 1383.26, 1342.95)","(48.67, 48.46, 48.63)","(236.41, 9087.08, 8886.11)"
query_prealloc_size,"(11704.59, 11758.72, 11918.84)","(1310.50, 1310.96, 1314.55)","(47.86, 48.41, 48.25)","(5056.18, 4912.93, 4879.09)"
transaction_alloc_block_size,"(13157.44, 10968.02, 12091.86)","(nan, nan, 'nan')","(49.29, 48.88, 47.58)","(4724.04, 4757.33, 4944.32)"
transaction_prealloc_size,"(11364.25, 11981.63, 11781.69)","(1364.11, 1348.25, 1276.78)","(49.56, 48.17, 47.51)","(5068.01, 5034.07, 4922.81)"
group_concat_max_len,"(11577.55, 11995.93, 11873.86)","(1313.05, 1314.62, 1318.62)","(50.39, 49.03, 49.27)","(4916.08, 4966.60, 4937.89)"
rbr_exec_mode,"(12032.04, 11957.70, 11989.96, 11821.79, 11834.62, 12008.90)","(1311.79, 1315.81, 1319.32, 1318.65, 1315.27, 1313.73)","(48.27, 48.27, 48.30, 48.28, 48.27, 48.30)","(4973.56, 4943.73, 4958.52, 4942.70, 4933.04, 4918.11)"
completion_type,"(11384.92, 12411.09, 11715.72, 11605.86, 11463.46, 12319.63)","(1319.24, 1319.16, 1312.70, 1315.00, 1314.89, 1318.70)","(50.42, 47.27, 49.73, 49.43, 47.61, 47.63)","(5100.97, 5008.16, 5009.97, 5062.54, 4791.61, 4970.30)"
transaction_isolation,"(11777.37, 11867.69, 12001.27, 11827.75, 12046.16, 11827.78)","(1283.17, 1320.22, 1302.96, 1343.09, 1326.30, 1303.01)","(49.17, 47.60, 48.11, 47.84, 48.64, 47.94)","(4845.07, 4964.03, 4878.01, 4934.10, 5011.80, 4982.99)"
updatable_views_with_limit,"(12029.56, 11971.83)","(1346.93, 1323.07)","(49.65, 48.22)","(5017.99, 4979.04)"
max_user_connections,"(14178.44, 11214.61, 10181.80)","(1291.74, 1310.65, 1318.38)","(45.98, 46.93, 46.27)","(242.93, 7494.32, 5722.98)"
block_encryption_mode,"(11923.08, 11915.73, 11915.65)","(1308.21, 1317.00, 1314.91)","(48.60, 47.97, 48.27)","(4973.92, 4969.35, 4930.75)"
transaction_read_only,"(12168.28, 11809.90)","(1294.12, 1303.56)","(0.00, 42.82)","(4965.37, 4939.73)"
low_priority_updates,"(11929.92, 11906.64)","(1306.90, 1311.42)","(48.57, 48.10)","(4954.74, 4947.47)"
new,"(11677.83, 11909.85)","(1375.76, 1263.68)","(48.45, 48.18)","(5141.85, 4837.37)"
keep_files_on_create,"(12254.68, 12132.16)","(1373.86, 1261.36)","(47.09, 49.47)","(4978.10, 4937.54)"
old_alter_table,"(12800.52, 12372.22)","(1327.68, 1310.82)","(45.92, 46.45)","(266.38, 7876.54)"
big_tables,"(11826.22, 11911.67)","(1332.34, 1325.30)","(46.32, 47.78)","(4905.63, 4953.37)"
default_storage_engine,"(11991.33, 11917.44, 11983.54, 11875.62, 11902.66, 11944.32)","(1305.14, 1317.86, 1307.04, 1308.11, 1323.25, 1305.89)","(48.65, 47.98, 48.65, 48.61, 48.31, 48.49)","(4988.65, 4978.62, 4903.96, 4919.15, 4929.44, 4970.86)"
default_tmp_storage_engine,"(11839.76, 11925.83, 11879.73, 11868.17, 11945.88, 11906.06)","(1317.69, 1316.18, 1314.87, 1315.16, 1315.10, 1314.66)","(48.05, 48.10, 48.30, 48.21, 48.14, 48.28)","(4982.15, 4976.05, 4928.99, 4943.73, 4957.73, 4910.45)"
character_set_filesystem,"(12198.56, 12036.91, 11697.19)","(1268.48, 1337.85, 1312.78)","(46.31, 50.15, 48.30)","(4749.64, 5095.50, 4847.65)"
character_set_client,"(12297.86, 12071.00, 11679.70)","(1347.12, 1291.18, 1332.26)","(46.27, 46.64, 49.44)","(4734.08, 5124.63, 4783.75)"
character_set_results,"(11341.16, 12332.65, 11346.29)","(1271.65, 1303.24, 1334.60)","(48.15, 48.15, 48.16)","(5072.55, 4868.16, 4828.57)"
character_set_server,"(12428.45, 11483.20, 11824.52)","(1277.92, 1326.72, 1347.14)","(48.07, 48.14, 48.23)","(5166.93, 4753.94, 4875.78)"
character_set_database,"(12155.90, 11780.65, 12043.91)","(1273.14, 1352.11, 1333.58)","(48.08, 48.11, 48.36)","(5023.52, 4975.48, 4946.74)"
character_set_connection,"(11969.75, 11935.53, 11898.68)","(1259.34, 1337.90, 1298.48)","(50.41, 49.77, 49.88)","(5043.61, 4960.21, 4886.27)"
lc_messages,"(12318.70, 11827.78, 11866.41)","(1297.81, 1322.75, 1301.88)","(46.30, 50.25, 50.01)","(4831.94, 4959.74, 4924.67)"
lc_time_names,"(11753.63, 11856.69, 11766.22)","(1366.56, 1343.49, 1300.57)","(50.12, 47.48, 48.06)","(4756.51, 4909.74, 4882.64)"
time_zone,"(11871.87, 11936.93, 11914.11)","(1304.46, 1319.04, 1313.50)","(48.36, 48.27, 48.23)","(4956.54, 4954.14, 4936.75)"
explicit_defaults_for_timestamp,"(12028.76, 11978.40)","(1326.81, 1324.00)","(48.36, 48.24)","(4926.35, 4943.30)"
long_query_time,"(11991.86, 11939.55, 11877.00)","(1318.34, 1317.05, 1314.64)","(48.30, 48.29, 48.28)","(4896.74, 4904.66, 4967.72)"
session_track_gtids,"(12410.06, 11733.78, 12384.93, 12145.45, 11899.19, 11939.45)","(1377.12, 1340.57, 1373.74, 1369.61, 1260.71, 1371.32)","(50.52, 49.49, 49.99, 46.45, 46.13, 50.08)","(5078.78, 4979.34, 4938.78, 4932.00, 4916.20, 4983.65)"
max_execution_time,"(13768.31, 12128.70, 12532.37)","(1342.63, 1317.49, 1296.31)","(46.99, 48.54, 48.78)","(4882.46, 4964.30, 4932.19)"
session_track_system_variables,"(11935.35, 11927.36, 11919.61)","(1319.78, 1316.01, 1319.77)","(48.76, 47.99, 48.52)","(4977.85, 4925.02, 4952.47)"
session_track_schema,"(12095.41, 12081.66)","(1268.84, 1317.58)","(50.43, 47.15)","(4945.95, 4941.88)"
session_track_state_change,"(11434.57, 12291.31)","(1278.57, 1340.40)","(15.00, 71.92)","(4703.02, 5147.91)"
session_track_transaction_info,"(11854.63, 11910.93, 11864.51, 11937.05, 11920.59, 11951.40)","(1328.95, 1317.70, 1317.06, 1325.92, 1325.68, 1320.15)","(48.74, 47.94, 48.56, 47.97, 48.42, 48.45)","(4922.11, 4926.64, 4946.49, 4923.96, 4929.31, 4950.89)"
information_schema_stats_expiry,"(13656.58, 12806.72, 13398.32)","(1271.88, 1335.70, 1321.28)","(49.89, 48.30, 47.00)","(4879.27, 4964.21, 4974.41)"
show_create_table_verbosity,"(11761.87, 12059.52)","(1333.32, 1306.89)","(46.79, 49.57)","(5162.07, 4826.25)"
show_old_temporals,"(11366.16, 11519.85)","(1364.91, 1286.90)","(49.15, 47.94)","(5158.00, 4957.36)"
internal_tmp_mem_storage_engine,"(12270.19, 12058.82, 11805.01, 11588.34, 12090.19, 11713.50)","(1281.54, 1334.86, 1320.85, 1318.14, 1310.76, 1338.02)","(49.89, 46.71, 47.71, 49.85, 49.08, 48.50)","(5060.28, 5017.17, 4831.16, 4878.47, 4992.43, 4854.47)"
default_collation_for_utf8mb4,"(12124.76, 11964.99, 12097.29, 11757.93, 12113.94, 11757.09)","(1312.22, 1316.49, 1313.61, 1316.60, 1317.29, 1315.10)","(47.29, 48.79, 47.31, 48.26, 48.03, 48.71)","(4888.85, 4934.95, 4914.18, 4981.95, 4902.22, 4916.10)"
use_secondary_engine,"(11811.88, 11966.62, 11831.35, 11841.83, 12010.72, 11908.08)","(1319.53, 1316.46, 1316.05, 1314.49, 1318.91, 1314.66)","(48.02, 48.34, 48.23, 48.40, 48.09, 48.24)","(4907.87, 4925.40, 4948.27, 4974.62, 4968.90, 4967.36)"
secondary_engine_cost_threshold,"(11824.35, 11857.05, 11928.51)","(1312.85, 1318.00, 1314.27)","(48.05, 48.39, 48.23)","(4915.25, 4941.70, 4950.54)"
sql_generate_invisible_primary_key,"(11535.64, 11561.55)","(1255.40, 1350.85)","(46.20, 49.86)","(5043.00, 4980.07)"
show_gipk_in_create_table_and_information_schema,"(11911.49, 11918.69)","(1337.41, 1312.79)","(46.16, 46.51)","(5130.09, 4879.87)"
default_table_encryption,"(11924.80, 11913.19)","(1323.79, 1308.28)","(48.14, 48.42)","(4922.66, 4951.31)"
print_identified_with_as_hex,"(12195.15, 12030.31)","(1366.54, 1266.99)","(48.22, 48.33)","(4992.21, 4979.02)"
show_create_table_skip_secondary_engine,"(11752.05, 12051.39)","(1274.50, 1328.43)","(50.23, 47.03)","(5145.33, 4762.27)"
generated_random_password_length,"(11700.60, 11805.96, 11833.69)","(1313.09, 1317.82, 1314.62)","(46.25, 49.33, 47.86)","(5145.26, 5085.23, 5087.56)"
select_into_buffer_size,"(12914.14, 11709.38, 12773.69)","(1365.18, 1351.03, 1283.51)","(50.59, 49.08, 47.68)","(4998.44, 4950.47, 4953.68)"
select_into_disk_sync,"(11503.50, 12066.92)","(1277.87, 1327.02)","(49.18, 47.61)","(4721.89, 5161.64)"
select_into_disk_sync_delay,"(11667.16, 12001.44, 11971.78)","(324.00, 1280.43, 615.98)","(50.40, 49.17, 49.94)","(4962.99, 4962.35, 4953.07)"
connection_memory_limit,"(8496.97, 13193.20, 10775.23)","(nan, nan, 'nan')","(48.49, 48.22, 48.22)","(4820.96, 4875.34, 4898.82)"
connection_memory_chunk_size,"(12017.54, 11915.86, 12010.29)","(1291.23, 1312.12, 1321.49)","(48.32, 48.29, 48.27)","(5177.50, 4800.86, 4888.33)"
global_connection_memory_tracking,"(12456.64, 12139.06)","(1274.73, 1280.71)","(48.16, 48.40)","(5023.24, 5015.96)"
explain_format,"(11571.93, 12129.01, 11701.10, 11779.74, 11628.27, 11954.69)","(1261.45, 1361.63, 1347.29, 1285.23, 1346.34, 1348.74)","(48.75, 48.75, 48.44, 47.96, 48.28, 48.61)","(4962.51, 4941.32, 4936.65, 4953.83, 4945.41, 4936.27)"
thread_stack,"(11744.56, 11804.73, 12006.54)","(1254.34, 1294.64, 1306.76)","(48.24, 48.26, 48.30)","(5138.03, 4787.45, 4870.06)"
